#NAME	EI_01	EI_02	EI_03	EI_04	EI_05	EI_06	EI_07	EI_08	EI_09	EI_10	EI_11	EI_12	EI_13	EI_14	EI_15	EI_16	EI_17	EI_18	EI_19	EI_20	EI_21	EI_22	EI_23	EI_24
#CLASS:Condition	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected
#CLASS:Treatment	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin
#CLASS:Sex	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male
ENSMUSG00000000001	31.885988	33.598309	50.36797	24.354649	25.474167	31.644066	23.212172	19.40962	28.346903	20.669649	28.353775	20.486326	23.569422	29.511683	26.582766	29.03561	27.511967	31.605993	24.865856	24.226358	29.209957	30.195498	27.808456	28.899359
ENSMUSG00000000031	10.651551	5.356668248	39.04120599	6.111810626	143.3964713	0.375406	5.972140953	13.57012991	5.380054	0.079807	0.362139	2.238613	0.180714	0	0.334431	0	0.121283	0.042632	2.239992583	3.998370055	2.227249	0.065156	0.040492	0.079045
ENSMUSG00000000049	1133.725952	656.457153	611.519592	1825.858276	961.268555	1282.074463	1387.241211	1650.932617	1614.101807	1010.854187	1024.553833	1571.60791	1840.072021	1657.498413	1910.448364	1568.041626	1510.900024	1172.22522	1719.971069	2047.872314	1761.104614	1648.913208	1503.686035	1733.183105
ENSMUSG00000000056	8.14861	9.707425	5.633458	9.335015	6.343297	11.906753	14.608235	14.246523	17.394648	17.477827	18.003534	14.305686	12.598248	15.060039	14.40176	18.78546	16.232944	16.975534	10.119534	9.235932	10.918516	16.118582	14.545813	12.874898
ENSMUSG00000000078	2.355129	5.088379	31.276363	2.632577	10.926244	3.473935	1.747052	2.292984	2.397315	2.216064	1.527591	1.355639	1.698875	2.844348	2.967875	1.821015	1.63978	1.657475	1.674552	2.941936	3.547721	1.479382	2.102464	1.34518
ENSMUSG00000000088	94.07365713	58.95458958	58.87897492	89.05522615	80.68271811	86.84826185	121.4923388	126.3969614	52.36182249	48.86079431	69.85813117	91.19075551	67.11522066	44.32259805	68.56602877	75.58754403	62.31303191	40.19019767	58.65323781	58.40781555	49.85441816	56.39129107	47.62972638	51.89448774
ENSMUSG00000000131	2.739740048	5.914623202	8.437664485	3.757718679	3.870022907	4.441237109	0.850470039	2.381123831	5.251752631	3.33719872	5.429319007	2.88421576	4.10333584	5.196449504	2.7672725	3.292251493	4.876463114	3.204211585	4.193159552	3.46317025	5.164921883	4.077918588	4.382562302	4.39221342
ENSMUSG00000000134	6.622169417	4.85853638	15.61715915	6.577799573	7.57326377	7.759008846	2.288727	3.379846	4.018625029	3.920284854	6.991251636	3.925303894	4.475275959	1.828125632	3.571976581	3.593478	6.002607183	6.638053668	5.328409766	4.295327	4.69712053	1.933797652	6.64278987	4.976159032
ENSMUSG00000000149	39.423889	39.757893	32.325256	43.829216	35.218517	43.557911	15.336012	28.000187	42.456955	46.488861	47.728832	51.186481	49.38773	46.161118	33.862785	32.326576	51.520508	62.252327	53.597858	39.535961	38.929146	53.937069	54.825069	47.147598
ENSMUSG00000000154	34.99368259	24.13390879	25.43037921	35.63273277	33.71486941	34.98162585	30.10849586	51.48763841	42.93368317	33.23071434	41.62220175	50.28792537	49.81974089	46.62496821	51.90878667	40.15171292	43.20793319	38.89250524	59.14518748	51.84735716	51.90002967	43.91556151	55.84952582	50.41275629
ENSMUSG00000000159	10.34557579	19.67849416	11.85146065	10.11164163	9.932999078	11.20191353	20.83876805	14.50032888	6.818565756	15.83789076	10.50338569	14.1603763	7.812012408	9.830224431	10.98974459	12.9294157	9.338352763	8.71646306	8.218878767	7.967976676	7.962370803	8.398264545	7.545962055	8.390267604
ENSMUSG00000000168	18.40015	21.086187	16.355328	20.557768	21.095451	21.172831	8.795341	13.033607	15.206506	8.55253	14.966844	12.390462	15.983266	16.290882	15.536401	17.130848	19.269144	15.037256	17.690853	14.467357	27.389507	12.74879	20.253357	21.900003
ENSMUSG00000000171	186.889221	170.774246	78.761612	221.813187	202.154541	201.566605	341.178345	280.031281	148.557648	146.014343	134.381027	171.089844	174.73378	161.883621	205.48378	201.220749	162.683167	127.567955	154.040771	148.922531	148.981934	128.083267	142.441391	120.447243
ENSMUSG00000000184	2.052154	2.527796	7.550668	0.815808	2.680551	2.143574	0.779416	1.171862	1.936819	1.00415	1.673088	1.097591	1.937161	2.216985	1.324744	0.763135	1.219878	1.04019	1.422942	1.956921	1.560717	0.842448	1.346448	0.806624
ENSMUSG00000000194	5.063866	5.516403	9.522955	3.469448	5.122813	3.685997	1.868815	3.556012	3.59999	3.10671	3.746132	3.19684	3.010187	3.763088	2.567055	2.724332	3.350599	4.114441	3.077528	3.192539	3.762877	3.389413	3.105504	3.689146
