SampleID,Fastq_Path1,Fastq_Path2
EI_01,/data/$USER/RnaSeq/EI_01.R1.fastq.gz,/data/$USER/RnaSeq/EI_01.R2.fastq.gz
EI_02,/data/$USER/RnaSeq/EI_02.R1.fastq.gz,/data/$USER/RnaSeq/EI_02.R2.fastq.gz
EI_03,/data/$USER/RnaSeq/EI_03.R1.fastq.gz,/data/$USER/RnaSeq/EI_03.R2.fastq.gz
EI_04,/data/$USER/RnaSeq/EI_04.R1.fastq.gz,/data/$USER/RnaSeq/EI_04.R2.fastq.gz
EI_05,/data/$USER/RnaSeq/EI_05.R1.fastq.gz,/data/$USER/RnaSeq/EI_05.R2.fastq.gz
EI_06,/data/$USER/RnaSeq/EI_06.R1.fastq.gz,/data/$USER/RnaSeq/EI_06.R2.fastq.gz
EI_07,/data/$USER/RnaSeq/EI_07.R1.fastq.gz,/data/$USER/RnaSeq/EI_07.R2.fastq.gz
EI_08,/data/$USER/RnaSeq/EI_08.R1.fastq.gz,/data/$USER/RnaSeq/EI_08.R2.fastq.gz
EI_09,/data/$USER/RnaSeq/EI_09.R1.fastq.gz,/data/$USER/RnaSeq/EI_09.R2.fastq.gz
EI_10,/data/$USER/RnaSeq/EI_10.R1.fastq.gz,/data/$USER/RnaSeq/EI_10.R2.fastq.gz
EI_11,/data/$USER/RnaSeq/EI_11.R1.fastq.gz,/data/$USER/RnaSeq/EI_11.R2.fastq.gz
EI_12,/data/$USER/RnaSeq/EI_12.R1.fastq.gz,/data/$USER/RnaSeq/EI_12.R2.fastq.gz
EI_13,/data/$USER/RnaSeq/EI_13.R1.fastq.gz,/data/$USER/RnaSeq/EI_13.R2.fastq.gz
EI_14,/data/$USER/RnaSeq/EI_14.R1.fastq.gz,/data/$USER/RnaSeq/EI_14.R2.fastq.gz
EI_15,/data/$USER/RnaSeq/EI_15.R1.fastq.gz,/data/$USER/RnaSeq/EI_15.R2.fastq.gz
EI_16,/data/$USER/RnaSeq/EI_16.R1.fastq.gz,/data/$USER/RnaSeq/EI_16.R2.fastq.gz
EI_17,/data/$USER/RnaSeq/EI_17.R1.fastq.gz,/data/$USER/RnaSeq/EI_17.R2.fastq.gz
EI_18,/data/$USER/RnaSeq/EI_18.R1.fastq.gz,/data/$USER/RnaSeq/EI_18.R2.fastq.gz
EI_19,/data/$USER/RnaSeq/EI_19.R1.fastq.gz,/data/$USER/RnaSeq/EI_19.R2.fastq.gz
EI_20,/data/$USER/RnaSeq/EI_20.R1.fastq.gz,/data/$USER/RnaSeq/EI_20.R2.fastq.gz
EI_21,/data/$USER/RnaSeq/EI_21.R1.fastq.gz,/data/$USER/RnaSeq/EI_21.R2.fastq.gz
EI_22,/data/$USER/RnaSeq/EI_22.R1.fastq.gz,/data/$USER/RnaSeq/EI_22.R2.fastq.gz
EI_23,/data/$USER/RnaSeq/EI_23.R1.fastq.gz,/data/$USER/RnaSeq/EI_23.R2.fastq.gz
EI_24,/data/$USER/RnaSeq/EI_24.R1.fastq.gz,/data/$USER/RnaSeq/EI_24.R2.fastq.gz
